code,label,type
F88d,Sloterweg e.o.,buurt
F88e,Nieuw Sloten Noordwest,buurt
F88f,Nieuw Sloten Noordoost,buurt
F88g,Belgiëplein e.o.,buurt
F88h,Nieuw Sloten Zuidwest,buurt
F88i,Nieuw Sloten Zuidoost,buurt
F88j,Dorp Sloten,buurt
F89,Slotervaart Zuid,buurtcombinatie
F89a,Louis Chrispijnbuurt,buurt
F89b,Jacques Veldmanbuurt,buurt
F89c,Staalmanbuurt,buurt
F89d,Medisch Centrum Slotervaart,buurt
K,Zuid,stadsdeel
K23,Zuidas,buurtcombinatie
K23a,Zuidas Noord,buurt
K23b,RAI,buurt
K23c,VU-kwartier,buurt
K23d,Zuidas Zuid,buurt
K23e,Vivaldi,buurt
K24,Oude Pijp,buurtcombinatie
K24a,Hemonybuurt,buurt
K24b,Gerard Doubuurt,buurt
K24c,Frans Halsbuurt,buurt
K24d,Hercules Seghersbuurt,buurt
K24e,Sarphatiparkbuurt,buurt
K25,Nieuwe Pijp,buurtcombinatie
K25a,Willibrordusbuurt,buurt
K25b,Van der Helstpleinbuurt,buurt
K25c,Lizzy Ansinghbuurt,buurt
K25d,Cornelis Troostbuurt,buurt
K26,Zuid Pijp,buurtcombinatie
K26a,Diamantbuurt,buurt
K26b,Burgemeester Tellegenbuurt Oost,buurt
K26c,Burgemeester Tellegenbuurt West,buurt
K44,Hoofddorppleinbuurt,buurtcombinatie
K44a,Surinamepleinbuurt,buurt
K44b,Westlandgrachtbuurt,buurt
K44c,Aalsmeerwegbuurt West,buurt
K44d,Aalsmeerwegbuurt Oost,buurt
K44e,Legmeerpleinbuurt,buurt
K44f,Bedrijventerrein Schinkel,buurt
K45,Schinkelbuurt,buurtcombinatie
K45a,Schinkelbuurt Noord,buurt
K45b,Schinkelbuurt Zuid,buurt
K46,Willemspark,buurtcombinatie
K46a,Valeriusbuurt Oost,buurt
K46b,Valeriusbuurt West,buurt
K46c,Willemsparkbuurt Noord,buurt
K46d,Vondelpark West,buurt
K47,Museumkwartier,buurtcombinatie
K47a,Johannnes Vermeerbuurt,buurt
K47b,P.C. Hooftbuurt,buurt
K47c,Concertgebouwbuurt,buurt
K47d,Cornelis Schuytbuurt,buurt
K47e,Banpleinbuurt,buurt
K47f,Hondecoeterbuurt,buurt
K47g,Harmoniehofbuurt,buurt
K47h,Museumplein,buurt
K47i,Vondelpark Oost,buurt
K47j,Duivelseiland,buurt
K48,Stadionbuurt,buurtcombinatie
K48a,Bertelmanpleinbuurt,buurt
K48b,Marathonbuurt Oost,buurt
K48c,Marathonbuurt West,buurt
K48d,Olympisch Stadion e.o.,buurt
