"name","city","link",
"Muzeeaquarium Delfzijl","Delfzijl","https://www.museumkaart.nl/museum/Muzeeaquarium+Delfzijl.aspx",
"Oudheidkamer Texel","Den burg (texel)","https://www.museumkaart.nl/museum/Oudheidkamer+Texel.aspx",
"Museum Beelden aan Zee","Den haag","https://www.museumkaart.nl/museum/Museum+Beelden+aan+Zee.aspx",
"COMM","Den haag","https://www.museumkaart.nl/museum/COMM.aspx",
"De Mesdag Collectie","Den haag","https://www.museumkaart.nl/museum/De+Mesdag+Collectie.aspx",
"Fotomuseum Den Haag","Den haag","https://www.museumkaart.nl/museum/Fotomuseum+Den+Haag.aspx",
"Galerij Prins Willem V","Den haag","https://www.museumkaart.nl/museum/Galerij+Prins+Willem+V.aspx",
"GEM"," museum voor actuele kunst","Den haag","https://www.museumkaart.nl/museum/GEM%2c+museum+voor+actuele+kunst.aspx"
"Gemeentemuseum Den Haag","Den haag","https://www.museumkaart.nl/museum/Gemeentemuseum+Den+Haag.aspx",
"Haags Historisch Museum","Den haag","https://www.museumkaart.nl/museum/Haags+Historisch+Museum.aspx",
"Humanity House","Den haag","https://www.museumkaart.nl/museum/Humanity+House.aspx",
"Kinderboekenmuseum","Den haag","https://www.museumkaart.nl/museum/Kinderboekenmuseum.aspx",
"Literatuurmuseum","Den haag","https://www.museumkaart.nl/museum/Literatuurmuseum.aspx",
"Louis Couperus Museum","Den haag","https://www.museumkaart.nl/museum/Louis+Couperus+Museum.aspx",
"Louwman Museum","Den haag","https://www.museumkaart.nl/museum/Louwman+Museum.aspx",
"Mauritshuis","Den haag","https://www.museumkaart.nl/museum/Mauritshuis.aspx",
"Museon","Den haag","https://www.museumkaart.nl/museum/Museon.aspx",
"Museum Bredius","Den haag","https://www.museumkaart.nl/museum/Museum+Bredius.aspx",
"Museum Gevangenpoort","Den haag","https://www.museumkaart.nl/museum/Museum+Gevangenpoort.aspx",
"Museum Meermanno","Den haag","https://www.museumkaart.nl/museum/Museum+Meermanno.aspx",
"Nationaal Archief","Den haag","https://www.museumkaart.nl/museum/Nationaal+Archief.aspx",
"NEST","Den haag","https://www.museumkaart.nl/museum/NEST.aspx",
"Panorama Mesdag","Den haag","https://www.museumkaart.nl/museum/Panorama+Mesdag.aspx",
"Vrijmetselarij Museum","Den haag","https://www.museumkaart.nl/museum/Vrijmetselarij+Museum.aspx",
"Marinemuseum","Den helder","https://www.museumkaart.nl/museum/Marinemuseum.aspx",
"Nationaal Reddingmuseum Dorus Rijkers","Den helder","https://www.museumkaart.nl/museum/Nationaal+Reddingmuseum+Dorus+Rijkers.aspx",
"Stichting De Nollen","Den helder","https://www.museumkaart.nl/museum/Stichting+De+Nollen.aspx",
"West Den Haag","Den-haag","https://www.museumkaart.nl/museum/West+Den+Haag.aspx",
"Natura Docet Wonderryck Twente","Denekamp","https://www.museumkaart.nl/museum/Natura+Docet+Wonderryck+Twente.aspx",
"Museum De Wieger","Deurne","https://www.museumkaart.nl/museum/Museum+De+Wieger.aspx",
"Museum De Waag","Deventer","https://www.museumkaart.nl/museum/Museum+De+Waag.aspx",
"Speelgoedmuseum","Deventer","https://www.museumkaart.nl/museum/Speelgoedmuseum.aspx",
"Kunstvereniging Diepenheim","Diepenheim","https://www.museumkaart.nl/museum/Kunstvereniging+Diepenheim.aspx",
"Lalique Museum","Doesburg","https://www.museumkaart.nl/museum/Lalique+Museum.aspx",
"Openbaar Vervoer & Speelgoed Museum Doetinchem","Doetinchem","https://www.museumkaart.nl/museum/Openbaar+Vervoer+%26+Speelgoed+Museum+Doetinchem.aspx",
"Stadsmuseum Doetinchem","Doetinchem","https://www.museumkaart.nl/museum/Stadsmuseum+Doetinchem.aspx",
"Museum Dokkum","Dokkum","https://www.museumkaart.nl/museum/Museum+Dokkum.aspx",
"Marie Tak van Poortvliet Museum","Domburg","https://www.museumkaart.nl/museum/Marie+Tak+van+Poortvliet+Museum.aspx",
"De Looierij","Dongen","https://www.museumkaart.nl/museum/De+Looierij.aspx",
"Huis Doorn","Doorn","https://www.museumkaart.nl/museum/Huis+Doorn.aspx",
"Paviljoen Nederland en WOI","Doorn","https://www.museumkaart.nl/museum/Paviljoen+Nederland+en+WOI.aspx",
"Kasteel Doornenburg","Doornenburg","https://www.museumkaart.nl/museum/Kasteel+Doornenburg.aspx",
"Kasteel Doorwerth","Doorwerth","https://www.museumkaart.nl/museum/Kasteel+Doorwerth.aspx",
"Dordrechts Museum","Dordrecht","https://www.museumkaart.nl/museum/Dordrechts+Museum.aspx",
"Het Dordts Patriciërshuis","Dordrecht","https://www.museumkaart.nl/museum/Het+Dordts+Patrici%c3%abrshuis.aspx",
"Het Hof van Nederland","Dordrecht","https://www.museumkaart.nl/museum/Het+Hof+van+Nederland.aspx",
"Huis Van Gijn","Dordrecht","https://www.museumkaart.nl/museum/Huis+Van+Gijn.aspx",
"Nationaal Onderwijsmuseum","Dordrecht","https://www.museumkaart.nl/museum/Nationaal+Onderwijsmuseum.aspx",
